ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.61,2.0,4.0,10.0,5.0,0.0,0.74,313.0,0.0,2.0,4.0,3.0,7.0,9.0,424.0,3.0,0.39,2.0,6.0,13.0,3.0,4.0,0.66,173.0,0.0,10.0,6.0,6.0,4.0,14.0,261.0,1.0,10655
0.52,6.0,7.0,11.0,1.0,0.0,0.74,276.0,0.0,7.0,4.0,2.0,5.0,12.0,374.0,6.0,0.48,6.0,6.0,15.0,1.0,1.0,0.71,245.0,0.0,6.0,4.0,2.0,6.0,12.0,343.0,7.0,10654
0.54,2.0,4.0,14.0,3.0,2.0,0.78,371.0,0.0,5.0,7.0,3.0,7.0,12.0,475.0,2.0,0.46,3.0,8.0,12.0,3.0,2.0,0.74,292.0,0.0,8.0,3.0,6.0,5.0,12.0,397.0,3.0,10652
0.52,0.0,1.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,3.0,0.48,0.0,3.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,9496
0.42,1.0,6.0,10.0,3.0,2.0,0.78,262.0,0.0,6.0,6.0,4.0,5.0,11.0,338.0,2.0,0.58,2.0,2.0,15.0,4.0,3.0,0.88,415.0,0.0,8.0,8.0,3.0,5.0,13.0,474.0,2.0,10653
0.46,0.0,3.0,15.0,3.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,4.0,0.54,0.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,2.0,9495
0.4,1.0,5.0,20.0,4.0,2.0,0.69,228.0,0.0,13.0,8.0,8.0,4.0,17.0,330.0,1.0,0.6,2.0,4.0,11.0,5.0,3.0,0.8,382.0,0.0,9.0,8.0,3.0,4.0,13.0,479.0,1.0,10651
0.5,4.0,3.0,24.0,1.0,3.0,0.82,340.0,0.0,4.0,4.0,4.0,8.0,12.0,414.0,3.0,0.5,4.0,4.0,14.0,3.0,0.0,0.78,320.0,0.0,5.0,6.0,3.0,8.0,13.0,411.0,3.0,10650
0.52,0.0,5.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,11.0,0.0,3.0,0.48,0.0,8.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,2.0,9492
0.54,0.0,2.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,1.0,0.46,0.0,5.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,9487
0.44,0.0,2.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,3.0,0.56,0.0,12.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,9493
0.47,0.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,13.0,0.0,2.0,0.53,0.0,4.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,2.0,9491
0.61,0.0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,12.0,0.0,2.0,0.39,0.0,5.0,14.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,9490
0.54,0.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,0.46,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,9.0,0.0,0.0,9488
0.64,0.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,9.0,0.0,2.0,0.36,0.0,1.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,3.0,9494
0.5,5.0,5.0,17.0,4.0,2.0,0.78,262.0,0.0,6.0,2.0,3.0,4.0,10.0,337.0,2.0,0.5,5.0,7.0,15.0,1.0,1.0,0.79,265.0,0.0,6.0,6.0,4.0,9.0,15.0,337.0,3.0,10649
0.49,0.0,4.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,8.0,0.0,0.0,0.51,0.0,2.0,21.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,2.0,9489
0.51,3.0,5.0,18.0,1.0,2.0,0.81,324.0,0.0,5.0,5.0,5.0,8.0,13.0,401.0,2.0,0.49,4.0,5.0,14.0,4.0,2.0,0.79,305.0,1.0,4.0,0.0,3.0,3.0,7.0,386.0,4.0,10648
0.56,4.0,5.0,19.0,2.0,0.0,0.78,316.0,0.0,6.0,3.0,4.0,5.0,11.0,407.0,2.0,0.44,2.0,2.0,19.0,3.0,3.0,0.74,229.0,0.0,6.0,6.0,2.0,4.0,10.0,309.0,4.0,10647
