ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,fixture_id
0.49,5.0,8.0,10.0,1.0,1.0,0.7,278.0,0.0,10.0,4.0,7.0,6.0,16.0,398.0,3.0,0.51,4.0,6.0,15.0,6.0,2.0,0.71,283.0,0.0,5.0,3.0,1.0,4.0,8.0,400.0,2.0,8891
0.58,4.0,12.0,9.0,2.0,1.0,0.84,424.0,0.0,9.0,10.0,7.0,12.0,21.0,504.0,0.0,0.42,4.0,7.0,8.0,5.0,1.0,0.8,287.0,0.0,8.0,4.0,3.0,3.0,11.0,359.0,0.0,8890
0.49,5.0,13.0,7.0,2.0,6.0,0.78,335.0,1.0,9.0,8.0,7.0,11.0,20.0,428.0,1.0,0.51,4.0,2.0,16.0,6.0,0.0,0.85,390.0,0.0,8.0,10.0,5.0,11.0,19.0,461.0,1.0,8889
0.45,2.0,7.0,14.0,5.0,3.0,0.73,290.0,0.0,11.0,11.0,4.0,6.0,17.0,396.0,3.0,0.55,4.0,5.0,20.0,3.0,0.0,0.76,390.0,0.0,10.0,2.0,7.0,3.0,13.0,511.0,2.0,8888
0.66,7.0,15.0,9.0,2.0,4.0,0.84,449.0,0.0,16.0,11.0,8.0,10.0,26.0,533.0,1.0,0.34,0.0,3.0,16.0,7.0,0.0,0.7,204.0,0.0,5.0,3.0,5.0,3.0,8.0,291.0,4.0,8887
0.39,2.0,4.0,8.0,1.0,5.0,0.82,354.0,0.0,7.0,4.0,2.0,1.0,8.0,433.0,1.0,0.61,1.0,5.0,8.0,1.0,4.0,0.88,605.0,0.0,9.0,7.0,4.0,3.0,12.0,691.0,1.0,8886
0.6,8.0,5.0,14.0,0.0,2.0,0.85,448.0,0.0,10.0,7.0,6.0,11.0,21.0,526.0,1.0,0.4,1.0,1.0,16.0,5.0,2.0,0.7,249.0,0.0,1.0,2.0,0.0,2.0,3.0,358.0,3.0,8885
0.32,0.0,4.0,12.0,8.0,7.0,0.59,156.0,0.0,4.0,2.0,4.0,2.0,6.0,263.0,3.0,0.68,8.0,13.0,13.0,1.0,1.0,0.84,464.0,1.0,18.0,15.0,8.0,13.0,31.0,554.0,2.0,8884
0.41,0.0,3.0,9.0,4.0,0.0,0.83,364.0,0.0,1.0,2.0,1.0,2.0,3.0,441.0,3.0,0.59,2.0,7.0,10.0,1.0,4.0,0.86,532.0,0.0,7.0,3.0,7.0,5.0,12.0,617.0,1.0,8880
0.41,1.0,6.0,17.0,4.0,1.0,0.72,271.0,0.0,10.0,8.0,6.0,5.0,15.0,374.0,4.0,0.59,6.0,4.0,13.0,5.0,1.0,0.79,436.0,0.0,9.0,5.0,4.0,6.0,15.0,553.0,4.0,8881
0.64,4.0,3.0,12.0,3.0,3.0,0.87,523.0,0.0,10.0,14.0,4.0,12.0,22.0,602.0,2.0,0.36,1.0,4.0,10.0,4.0,2.0,0.7,229.0,0.0,2.0,1.0,3.0,3.0,5.0,328.0,2.0,8882
0.64,5.0,7.0,16.0,6.0,2.0,0.8,411.0,0.0,7.0,6.0,2.0,6.0,13.0,512.0,1.0,0.36,3.0,5.0,16.0,2.0,4.0,0.65,176.0,0.0,12.0,6.0,7.0,4.0,16.0,271.0,6.0,8883
0.47,5.0,6.0,14.0,3.0,2.0,0.8,337.0,0.0,6.0,7.0,4.0,11.0,16.0,423.0,2.0,0.53,5.0,3.0,11.0,4.0,4.0,0.82,384.0,0.0,9.0,4.0,5.0,5.0,14.0,466.0,3.0,8879
0.5,3.0,5.0,5.0,1.0,2.0,0.8,388.0,0.0,8.0,4.0,6.0,5.0,13.0,482.0,2.0,0.5,4.0,7.0,12.0,3.0,0.0,0.81,387.0,0.0,5.0,5.0,4.0,8.0,13.0,480.0,2.0,8878
0.51,5.0,7.0,13.0,2.0,4.0,0.79,349.0,0.0,15.0,8.0,8.0,6.0,21.0,439.0,2.0,0.49,4.0,5.0,13.0,5.0,4.0,0.77,342.0,1.0,6.0,0.0,5.0,3.0,9.0,447.0,2.0,8877
0.39,3.0,7.0,14.0,6.0,1.0,0.7,228.0,1.0,3.0,4.0,1.0,5.0,8.0,326.0,2.0,0.61,7.0,10.0,13.0,1.0,3.0,0.83,413.0,0.0,16.0,12.0,7.0,10.0,26.0,498.0,2.0,8876
